opcode_sequence,label
pop add xor lea sub or,1
call call add xor nop and push and and nop mov pop mov jmp jmp push lea,1
pop cmp lea pop xor xor add xor,0
call and jmp nop lea call sub jmp jmp lea nop,0
lea and lea push or lea ret push call and and xor nop jmp nop or,1
jmp push and ret sub sub ret lea xor xor pop cmp mov or cmp ret ret call jmp,1
xor add xor or sub xor or lea cmp sub and call sub add mov nop mov,1
add add xor sub call pop mov jmp jmp mov jmp sub nop lea mov add call and sub,1
jmp call pop and jmp call sub mov and ret call jmp add push lea or add,0
add add cmp call and or add call pop pop pop mov or,0
pop push jmp or ret xor mov ret jmp lea ret mov and and nop call nop,1
xor jmp jmp sub nop call ret push xor pop sub cmp or lea,0
add ret nop xor add call pop lea nop pop mov pop lea,1
jmp cmp xor nop push nop add and ret add mov,1
push jmp xor nop nop jmp sub or sub push and call jmp lea xor call nop mov ret,1
lea mov ret ret xor lea mov cmp,0
jmp push sub lea or or add jmp call ret jmp pop xor,1
pop cmp sub or sub pop add cmp and add cmp or lea,0
jmp and and or lea cmp,1
xor jmp or sub nop xor cmp sub and cmp ret jmp push,0
xor lea xor xor cmp lea ret and,0
sub sub call ret cmp pop jmp call xor call,1
call ret pop jmp jmp jmp,1
push jmp push sub jmp or,1
add pop mov pop mov jmp cmp pop,0
ret push or push and cmp add push or add ret or xor add call pop sub,0
pop pop pop or nop sub ret and nop sub pop ret ret,0
cmp cmp cmp xor ret sub xor call lea or push sub,0
push sub mov mov mov or sub mov ret pop ret jmp push or jmp push lea lea ret xor,1
push pop and lea pop or,0
pop or call nop call xor sub mov call and or nop and add push jmp mov xor call mov,1
mov nop sub xor or or jmp sub mov cmp or and xor,1
or jmp push xor nop call and ret,1
call nop and xor push pop nop push,1
jmp sub cmp or and push jmp add nop mov call lea call nop cmp push sub sub mov,1
push lea mov and jmp or,0
push xor mov sub mov lea cmp add call cmp,0
cmp jmp call lea or nop jmp add push pop mov xor ret lea xor pop sub jmp,0
cmp pop jmp and or or lea call mov,0
and pop mov pop or and pop and nop,1
add mov or nop lea xor ret ret lea,0
sub call mov ret ret nop call sub pop cmp ret,1
add sub lea mov call push add ret jmp push,0
cmp jmp push or xor or add,0
call cmp call jmp jmp add ret ret,0
add ret lea nop jmp nop xor jmp and lea and mov ret xor and ret,0
mov sub ret xor pop pop xor cmp nop cmp xor or push jmp mov xor sub jmp,0
pop xor pop or xor and lea add ret lea lea push ret ret pop,0
lea pop jmp lea mov jmp ret or add push cmp pop,0
add push xor cmp mov cmp call lea call pop call and mov lea call or push pop push,1
jmp and sub xor nop add and lea lea sub jmp lea call,1
pop nop ret jmp sub sub sub pop xor xor ret or push or nop sub pop call,0
sub and xor or push ret ret pop cmp or add mov mov sub xor,0
sub and xor call pop sub sub ret pop call add call sub add jmp cmp pop mov ret,0
ret jmp xor xor add nop and cmp cmp push,1
sub or and mov cmp lea ret pop,0
pop sub mov nop nop jmp push xor mov ret,1
lea xor pop cmp and call xor nop cmp sub ret sub add pop add pop,1
and call or pop pop lea xor mov pop jmp call,0
cmp ret nop or xor sub cmp nop xor ret sub pop nop call,0
lea ret lea sub xor pop call and sub and sub sub jmp cmp,0
cmp ret or pop pop call cmp or call call call or nop and,0
lea pop nop nop push or,0
pop nop sub pop or and call xor sub nop cmp jmp mov,1
ret pop lea pop add or mov ret call call push jmp xor or,0
add or pop or pop or lea and and cmp nop ret nop sub,1
xor push add push cmp ret and or or call sub,0
add cmp push mov nop push add xor sub or,1
sub mov lea mov sub sub mov sub push pop or add ret nop,0
xor ret mov push nop push call,0
ret and mov nop add lea mov pop add xor,1
add pop add lea and lea jmp call or lea call jmp or xor,0
lea or call push and lea sub pop,0
pop push add cmp pop add nop add jmp call lea call call call jmp add,1
mov add push mov add mov call push nop call or ret cmp ret xor jmp xor,1
add nop add or pop add or nop add lea nop cmp push mov,1
cmp xor push pop or xor mov xor xor add add mov jmp nop lea push mov add cmp,1
call mov nop mov ret call xor xor pop jmp sub sub call or jmp,0
ret call cmp and lea call lea jmp add pop lea lea add mov ret nop ret cmp lea,1
ret and jmp cmp lea and,1
or xor jmp or sub lea nop jmp or lea and call xor mov push pop call,1
call ret xor lea cmp xor push push and cmp call,0
pop mov cmp mov push call or ret lea,1
cmp cmp and cmp add cmp nop lea nop pop jmp push call xor push push xor lea cmp nop,0
call and xor pop add cmp or,0
lea jmp jmp sub add and cmp,1
nop add jmp cmp lea push mov push add lea lea pop add ret,1
ret nop lea ret add sub sub cmp,1
or xor ret mov mov mov lea lea xor push xor nop jmp lea or add mov,0
lea call ret call push mov xor call add pop lea sub and ret or or and call,1
nop push xor or xor lea xor or pop sub jmp add sub add or,1
cmp sub pop pop nop jmp push jmp xor lea cmp push sub call mov and add ret jmp call,0
add push jmp and add and call add add jmp and add sub jmp call mov jmp xor lea,1
mov add sub lea xor jmp nop ret pop push,0
sub pop sub xor and ret add sub,0
push lea lea push mov ret or or xor ret lea mov lea cmp push add cmp and,1
ret pop pop cmp pop nop pop cmp pop sub xor,1
sub sub sub or pop cmp nop xor call sub add jmp xor,0
lea push sub pop call jmp call push nop mov xor jmp,0
cmp xor xor pop push call and and cmp mov and,1
call call and or nop add sub cmp ret call jmp sub or nop mov push nop pop,0
sub call nop pop or or ret ret sub cmp cmp,0
lea or cmp jmp mov jmp mov ret mov add mov,1
and sub xor lea sub and xor and cmp,1
call jmp pop cmp nop nop sub sub and call jmp nop ret pop lea xor,1
jmp add lea pop nop ret xor sub ret push cmp cmp sub,0
nop add pop add push ret jmp and sub mov lea call ret push add,0
add lea nop lea mov sub add call ret mov lea xor call cmp or lea and,1
ret sub ret sub or lea xor nop and push pop sub and,1
push sub or cmp add pop jmp jmp push or mov push and or,1
add sub sub mov cmp ret push cmp jmp cmp cmp ret call,1
cmp and add jmp mov and or,1
mov jmp mov jmp pop push nop ret,0
push sub jmp sub call add,1
cmp mov or add call mov and and push jmp,0
pop ret lea jmp pop ret jmp add xor jmp cmp pop or push mov pop add add jmp ret,1
xor or jmp lea jmp cmp and nop pop lea and add mov ret sub ret,1
and cmp sub xor lea cmp jmp,1
xor cmp push pop sub sub and ret nop call or and mov nop nop,0
mov sub nop nop and lea call,0
ret nop and pop or xor cmp xor xor push jmp lea cmp,0
xor xor mov nop xor and cmp ret call pop call lea pop or cmp or xor and,0
lea add pop nop and xor or call call pop push lea pop call xor call jmp sub,0
or ret or jmp xor push ret or ret or,1
or mov xor cmp nop and call add lea jmp lea,1
sub nop call and and pop lea jmp or lea mov and add or cmp and,1
call call xor pop ret xor,1
sub nop jmp ret ret or,0
mov cmp mov add and pop pop,1
call sub xor push call or nop xor,1
or cmp pop push and call and and,1
lea xor call sub sub add jmp ret or xor sub pop lea push push xor sub xor lea sub,0
nop sub or cmp call jmp sub mov call xor,0
nop add mov push call nop lea and xor nop or lea add,1
sub sub lea lea and sub sub mov,0
or and lea and push call add and nop pop,1
ret pop or and call and xor cmp nop pop call nop ret or add ret,0
push add cmp call lea nop ret ret sub and or,1
and ret push mov cmp or ret push jmp xor pop lea ret nop lea call lea pop or,1
sub and pop nop nop sub sub pop nop xor or or,0
lea pop nop ret pop xor and lea pop add nop,1
add cmp or ret add jmp xor mov push add cmp and nop ret ret or or push xor nop,0
lea add add lea add call push nop ret mov and push lea or lea jmp push lea sub,1
and mov sub jmp ret push xor cmp,1
sub lea push jmp mov xor sub push ret sub pop cmp ret or or lea,1
and sub call nop jmp mov xor push pop add,1
ret nop push pop sub and or pop ret mov cmp nop push add,0
lea ret cmp ret ret lea or push nop mov sub xor mov push pop,0
sub push jmp and push add,0
jmp or ret pop ret lea sub push pop or and xor add call xor,0
lea pop ret cmp sub and ret lea,0
cmp xor ret and ret cmp jmp and pop,0
or call cmp ret or jmp pop,1
ret and push push sub lea pop push pop add ret jmp or push,0
jmp add pop add cmp mov xor and and sub sub xor add call lea ret push,0
lea jmp xor push pop jmp or cmp add xor sub xor,0
and lea ret nop xor or or ret push jmp jmp xor and mov add,1
ret lea pop mov nop add xor nop lea and lea nop cmp lea or call ret,1
ret lea mov jmp push or cmp sub pop mov jmp add push or jmp and,1
jmp push add mov sub push and nop pop and nop cmp,1
lea add mov lea lea xor or lea jmp cmp jmp nop mov add mov mov cmp and mov sub,0
jmp xor or push jmp ret nop nop add cmp or cmp ret and xor and,1
pop or and cmp cmp pop lea add,0
mov nop cmp or or or xor sub mov call pop sub lea or jmp,1
jmp jmp xor and lea xor xor push lea,0
add jmp xor cmp mov lea call mov mov call or ret,0
pop sub cmp and add ret sub push jmp jmp jmp nop ret mov cmp cmp add pop sub,0
call call call sub sub add and lea sub lea or,1
ret cmp mov jmp pop cmp or nop push add pop nop call mov jmp,0
push pop ret sub sub add ret ret,0
mov and or add add or pop pop ret mov add ret sub cmp,0
pop add ret call push and jmp,0
sub or jmp and nop and,1
pop ret call nop sub push ret and sub lea lea sub lea jmp add pop lea mov or,0
jmp lea and pop push xor pop,1
jmp xor mov cmp xor sub sub pop call nop mov sub pop ret mov or pop jmp,1
push or add pop sub ret lea lea ret mov lea,1
lea and jmp mov lea or cmp add lea cmp push add ret sub add add pop and mov,1
add cmp sub xor mov xor ret,1
and sub add nop cmp and mov sub and xor,0
and and ret or or or and sub sub call,1
call mov pop lea sub nop,0
cmp lea cmp nop pop ret,0
xor call and add call sub or add push add add sub cmp nop jmp xor and pop push,1
ret nop lea sub call and push xor,1
lea and lea lea push add add or ret ret pop push or push,0
and ret call sub mov push xor lea lea push ret jmp jmp push ret call mov call cmp add,1
and ret jmp jmp nop call add call and ret push,1
ret jmp and pop or push,0
mov pop add or lea ret nop call and add xor cmp ret lea ret call pop,1
mov cmp call call mov sub cmp pop push jmp ret xor cmp push,1
nop and ret and sub or sub lea jmp ret pop or pop lea,1
mov sub ret pop push or sub push,1
sub xor xor or nop sub mov sub add nop nop lea xor ret cmp ret or jmp,0
pop add nop add or cmp and lea mov pop,1
cmp and jmp mov and sub jmp add and jmp,0
jmp or ret add nop and push cmp or sub sub call pop push call cmp sub push mov and,0
and lea nop lea sub nop push pop nop sub lea push jmp cmp sub sub ret ret,1
mov call mov pop cmp cmp ret sub mov,1
jmp ret call cmp sub call xor pop cmp mov jmp pop lea nop pop and pop nop lea,0
push call sub and pop mov push nop or call pop lea sub sub and nop call sub push call,1
call mov mov jmp call nop cmp or mov push mov and xor pop lea xor,1
ret cmp mov cmp mov sub nop jmp push and sub sub,1
and ret cmp jmp mov mov or sub sub nop push,1
push xor lea push pop xor call sub or pop sub or xor call nop pop xor,1
and jmp or push mov cmp mov sub jmp cmp and mov nop add ret mov,1
cmp and cmp and cmp pop or ret push,1
pop pop mov add jmp xor mov lea or xor push,1
push sub or pop cmp call ret,0
or call pop nop jmp ret cmp ret sub jmp xor sub mov ret lea,1
xor add ret cmp call jmp nop call lea add,1
push or add mov ret sub push pop nop nop pop ret xor xor and,0
sub sub or mov or ret xor,0
nop nop nop call nop lea pop add xor push and cmp lea lea call jmp push,0
xor call cmp nop nop ret mov ret add push sub nop xor lea jmp lea cmp xor mov,1
nop jmp lea mov lea lea add xor cmp nop or nop nop mov add add xor,0
cmp mov lea add lea mov jmp or jmp sub cmp add,0
or call push pop xor lea xor add,0
nop push and pop mov and call pop and push lea call and,0
or cmp pop xor sub xor push mov cmp xor or or lea nop add,0
push nop or nop lea push and ret and push pop pop or sub jmp lea sub xor nop jmp,0
or or and sub and lea lea xor push xor nop ret,0
jmp jmp mov and and xor call xor add nop push sub,1
ret cmp xor or nop ret lea or lea sub or or cmp xor,1
and and add add xor pop xor mov jmp add jmp and pop jmp sub add lea call,0
cmp call push call ret nop push nop xor call call pop call mov xor nop pop,0
xor nop jmp xor jmp xor lea lea nop nop or or,1
and xor and and xor or lea,0
cmp or nop push lea call lea,0
mov pop mov jmp lea add pop sub lea xor sub nop xor xor and lea jmp,0
ret jmp ret call mov lea ret sub nop jmp push sub jmp add,1
jmp add nop add call cmp jmp mov ret call sub,1
ret call push and and and cmp and nop pop xor,1
and and and lea mov or or push call or lea push cmp lea and sub lea lea,1
call jmp jmp and call sub call mov call and mov ret add nop xor push push ret call push,0
pop and mov pop nop jmp,1
or xor ret ret ret jmp ret pop and call ret or pop cmp and push add,0
nop xor and sub mov pop and add cmp add ret call and pop nop pop,1
and cmp xor xor push and sub ret add add pop jmp xor lea,1
and and add jmp lea nop mov mov and mov,1
nop ret xor add ret xor nop lea call lea mov or cmp cmp mov push pop,1
nop cmp add jmp add add cmp jmp push push cmp pop mov sub,1
call lea nop xor jmp lea jmp jmp lea cmp cmp mov xor call push ret,0
ret mov call ret nop cmp or sub ret mov ret sub push add ret pop call call ret mov,1
xor lea mov xor jmp sub cmp lea jmp push or sub jmp,0
xor call pop jmp mov and pop or sub sub add xor ret cmp or and cmp xor jmp,0
and call cmp lea or mov mov sub,1
jmp nop cmp cmp mov nop xor mov add pop nop jmp add ret pop and call,0
or nop xor add pop and sub lea sub and cmp sub sub or add or sub xor,1
xor mov cmp and nop sub sub and pop jmp xor nop,0
push nop lea or call pop and jmp or,0
ret jmp nop nop push nop ret lea add cmp jmp and call cmp or jmp sub pop jmp sub,1
lea or call call ret pop jmp and and cmp ret pop cmp lea sub cmp mov cmp and,0
pop pop sub add and jmp nop add ret add sub,0
mov and lea nop or cmp sub pop,0
lea cmp jmp add mov xor add or lea push jmp jmp push push,1
nop nop push mov sub pop nop,0
pop add cmp push xor add cmp nop ret xor,1
nop add and call ret nop nop sub lea push or lea jmp and,0
pop jmp xor lea cmp mov nop call,1
and jmp lea jmp sub cmp sub nop add sub add mov sub nop push and pop add,1
pop lea call mov sub mov add ret cmp,1
push add add ret sub mov ret add call nop call ret,1
or mov jmp or call sub nop ret push cmp sub and xor nop nop ret nop,0
cmp ret and xor and push pop cmp xor xor sub mov,1
jmp xor sub or xor xor jmp call cmp lea cmp nop or call push cmp or or,1
sub mov ret lea and jmp mov add sub lea mov pop,0
and add jmp sub cmp add jmp add lea,0
jmp nop jmp sub ret lea pop mov cmp or nop nop add ret call jmp cmp jmp,1
push or nop and sub lea jmp lea push sub pop mov and mov pop call push jmp,0
ret lea cmp or sub xor sub or add nop call cmp cmp nop pop nop mov pop and and,0
push xor sub or lea push cmp ret ret cmp lea nop push,1
and ret add and xor nop or ret,1
sub and sub lea sub jmp lea sub mov and jmp push,1
nop cmp jmp call jmp lea call add or lea lea mov call and,1
jmp cmp and xor call and lea or add sub xor call or ret mov add lea,1
mov push add or sub xor mov nop add ret push add or or nop jmp lea lea jmp and,1
cmp lea nop add jmp sub ret jmp push mov cmp and and add,0
jmp add push xor lea sub and call or mov push add ret cmp or,1
ret jmp add or xor push nop and add add pop call sub and or mov lea nop pop,0
nop mov and push push add ret lea call jmp nop sub jmp ret mov sub,1
mov ret pop or ret add sub and pop sub and push,0
sub and pop sub cmp pop sub or sub push mov lea,1
nop cmp xor sub nop nop add pop,1
push call lea lea xor nop pop or or or push pop jmp and and mov call xor lea,1
mov or lea cmp nop add mov sub or add cmp pop pop ret ret cmp or and,1
and and jmp mov cmp sub ret nop cmp or add and ret ret sub lea add lea mov push,1
sub cmp jmp push call or or add call lea pop mov lea pop xor jmp,0
cmp push xor or or mov,0
or cmp sub lea nop lea pop pop ret sub and,0
or or pop ret or xor,1
xor ret call cmp or mov push mov call jmp add or nop nop pop lea sub ret,1
sub cmp call jmp push sub pop,0
push lea sub pop call nop call sub lea,0
call ret pop cmp mov push or mov call and lea push and call,0
call nop push and ret jmp and nop cmp or,0
cmp xor sub xor jmp jmp call cmp nop sub,0
push jmp ret pop pop xor or ret and pop add jmp mov,1
lea jmp mov jmp cmp sub ret jmp,1
jmp and xor jmp and xor jmp cmp xor mov jmp lea add push,0
and sub add push ret jmp sub lea xor and pop cmp,0
nop add lea lea call jmp xor xor or lea add and cmp lea ret xor lea push,0
nop mov jmp nop sub ret jmp call xor jmp mov jmp and and lea nop or nop,1
sub add call lea mov cmp,0
push lea call sub push add or add mov and sub pop call sub add ret mov ret and jmp,1
ret mov ret lea add xor push nop,0
and add call push jmp xor nop or cmp add or add xor or cmp,0
or pop sub add jmp xor add pop cmp pop pop,0
call cmp and xor cmp xor call and mov push sub nop,0
ret nop xor or mov jmp pop mov mov mov add jmp jmp lea or ret,1
jmp push nop sub or jmp call lea and,0
sub ret mov push mov pop pop call cmp lea xor call lea push cmp sub and,1
or or jmp jmp jmp push cmp lea lea sub jmp sub call call sub pop lea and,0
jmp xor ret lea sub add ret,0
cmp or jmp push jmp call push nop,1
and or push push call sub mov,1
jmp xor nop cmp mov add lea or nop nop cmp jmp call sub cmp pop,1
nop cmp or and jmp pop jmp call pop sub cmp and jmp ret or and call sub cmp or,1
cmp add call nop push ret jmp sub ret or xor lea ret xor lea xor nop call lea jmp,0
xor lea nop call lea ret cmp pop mov jmp mov jmp xor sub mov push lea or jmp cmp,0
and jmp mov ret add push add ret jmp lea xor push xor call jmp mov push add push,0
nop nop pop pop or nop or lea,0
xor nop mov sub pop nop push add mov nop ret or nop jmp,1
sub push pop and call sub ret add add lea nop nop,1
call nop call nop jmp xor and xor mov lea and pop jmp lea push sub call nop,1
nop nop add mov and xor jmp push,1
and and lea cmp sub pop push add call ret nop sub pop cmp lea,0
sub ret pop push sub ret cmp call lea pop cmp,1
ret cmp or push xor lea and,0
or lea ret sub jmp jmp pop push nop xor add push ret lea pop sub xor,1
pop push cmp and or nop jmp push lea and pop,1
call jmp call sub jmp xor jmp add jmp add lea mov or sub,1
sub jmp call ret call ret sub lea sub nop,0
lea cmp and xor pop mov,1
or sub mov cmp pop pop ret ret xor lea call,1
cmp lea call pop nop xor call add sub mov or mov xor jmp pop,0
sub ret cmp add push mov call pop call jmp sub sub xor add call nop,0
nop xor or lea pop sub mov mov nop xor and,1
mov xor sub cmp and nop xor jmp ret sub and xor ret,1
xor xor jmp lea nop ret ret cmp pop cmp xor pop lea push,0
ret push sub xor nop push add call and call sub nop and jmp,1
sub lea ret lea add sub or nop or push nop and,1
xor ret jmp and ret and sub nop or jmp push pop mov,1
call ret and sub push call xor sub sub,0
cmp nop pop nop add jmp sub add xor add push pop cmp sub cmp xor ret lea ret,1
or mov xor xor lea add lea cmp ret pop or,1
pop and sub pop or call and or or xor pop xor pop mov push sub,1
xor ret push jmp ret xor cmp sub and mov push sub pop add pop call,0
add jmp nop call pop nop ret,1
lea xor and mov xor sub and call push call mov cmp sub,0
xor sub ret xor cmp jmp nop cmp cmp mov lea ret or sub pop call push call push,1
sub add and call pop sub,0
jmp lea and mov xor cmp add xor nop call,1
lea cmp mov push ret cmp nop or pop mov push lea pop and cmp add call xor,0
cmp lea mov and jmp and push push call call,0
or mov xor add cmp add and pop sub mov add push ret or call xor add or sub and,1
sub mov cmp xor sub ret nop cmp jmp ret cmp add and pop jmp lea push,0
xor call add xor add sub nop sub add sub jmp ret add and sub,0
pop add cmp xor nop nop or pop call mov jmp push or jmp and,0
or lea mov nop and xor nop xor call ret cmp or or push or or push add sub,1
pop sub sub jmp sub ret or cmp mov cmp sub add lea and ret nop,1
call and lea cmp push lea push,1
pop cmp or ret and and ret nop add and pop xor and and xor nop mov add or sub,0
jmp xor nop xor lea and or xor jmp,0
ret add pop nop or xor or nop sub add pop add call ret and and xor pop xor or,0
pop mov pop ret lea and or push lea add lea mov push or,1
or call xor call nop cmp call,0
sub nop nop mov and and call add call pop nop sub nop,0
and ret lea lea and nop mov jmp sub xor,1
mov cmp nop call xor and jmp add add lea ret ret nop pop ret,0
cmp pop pop jmp ret and sub add cmp lea xor lea,0
add mov cmp and mov mov pop sub jmp mov pop ret or add and lea jmp nop call,1
add xor ret lea sub sub and cmp add ret,1
or ret nop or push add sub xor ret jmp or nop,0
nop push nop and or xor sub or,1
push xor sub mov pop sub cmp jmp nop and add lea or,0
ret pop push xor pop ret push nop nop jmp push pop ret cmp call ret add ret add and,1
jmp cmp push add add sub pop lea jmp ret add mov call,1
sub nop xor ret jmp xor lea and push xor,1
add mov ret lea nop add ret and lea sub nop,1
or xor xor push lea mov,0
mov lea lea or or or push sub and,1
lea cmp cmp lea or or xor sub and xor jmp mov jmp push push lea mov xor,1
or xor ret and sub call jmp and sub call xor jmp push and push jmp,1
sub call or ret sub add lea,0
sub mov pop xor jmp sub pop mov push and ret and or cmp sub xor push jmp call,1
sub nop or xor or mov ret jmp mov push and pop ret call,0
ret cmp or push pop sub sub xor xor xor push nop pop call cmp pop and push jmp mov,1
jmp sub sub xor jmp push jmp xor lea nop call lea or nop add add,1
ret xor pop push and xor,1
lea lea nop lea xor pop and xor cmp,1
and or pop push cmp nop add,0
and cmp or lea ret nop push nop add sub call,1
lea xor ret mov and call cmp call ret,0
lea and or push add xor call mov add push cmp or cmp lea lea or ret,0
jmp sub mov ret nop call or xor call jmp lea pop cmp xor jmp add,1
lea or nop push ret mov cmp push ret add and cmp call,1
pop or pop add call sub mov,0
xor push or mov and ret and call lea pop mov call xor,0
nop pop mov push lea jmp jmp ret ret xor,1
pop sub and add push or push push or ret nop add pop mov nop sub add call pop cmp,1
lea call jmp and nop and nop add ret mov cmp sub call,1
and nop push add add and ret call cmp ret and sub jmp and nop xor lea sub,1
jmp lea push nop lea ret sub ret call jmp xor sub call jmp cmp,0
jmp call sub sub cmp push pop or add add or push nop lea nop jmp and,1
pop or add or mov and mov and ret xor or lea jmp lea mov pop and ret or sub,0
and xor xor xor nop ret cmp push cmp or jmp call push or pop call nop,1
nop or mov mov ret ret push push and push mov mov jmp call cmp jmp,0
sub or cmp xor lea add or call lea,1
and mov call nop jmp lea xor,0
cmp nop call pop push push cmp call cmp mov cmp ret,1
xor push mov pop call or jmp cmp,1
push cmp jmp ret or lea sub ret push mov call xor jmp cmp lea and sub mov,1
mov add call xor cmp cmp push,1
sub or jmp and sub or call cmp add nop,0
lea cmp jmp pop or xor add push,1
cmp sub xor mov cmp nop add pop sub xor call push pop,1
sub xor push lea and ret mov lea jmp nop ret xor,0
jmp sub pop sub add nop call pop push jmp cmp ret,1
or add push cmp add push cmp and and and jmp jmp ret or add call,0
push or xor ret pop jmp cmp,0
and nop pop call jmp mov or call push push push jmp,1
pop call and or sub pop pop and pop call xor and mov,0
lea push call xor sub jmp mov cmp nop call,0
push push cmp mov add sub ret xor or sub xor or add pop lea nop pop sub sub jmp,0
sub call and xor or ret nop or add ret add cmp mov call sub add,1
lea and jmp lea call or lea jmp or and mov sub,0
mov jmp nop and mov call and or,1
pop call pop xor push or add xor push and ret nop sub call or nop cmp cmp or add,0
cmp cmp and or call lea add cmp nop add nop or,0
add or and sub and nop xor lea jmp pop call sub push pop cmp jmp mov,0
or pop push push ret or jmp sub mov pop ret,0
pop and nop add push nop xor ret ret or cmp,0
mov cmp pop jmp and sub add add mov jmp call add sub cmp and nop and add pop,0
push ret nop call and push pop mov,0
add push pop lea call lea mov add ret or cmp nop push lea push add pop sub cmp,1
lea or call lea add xor sub and call push add jmp xor,0
and jmp pop cmp call add ret ret mov and nop and lea cmp cmp sub and,1
cmp nop add nop and or pop push lea pop sub,0
mov sub jmp pop add jmp or xor jmp,1
or nop call sub lea lea or lea jmp or sub cmp add mov jmp xor nop push,0
call and call pop xor call call sub lea add nop sub cmp ret,1
or push cmp mov mov push call lea sub xor nop lea sub or push mov ret lea,0
add xor or mov mov add or jmp push push mov and or nop,0
lea xor mov sub or mov sub or and ret add nop ret cmp nop call xor or add lea,0
nop sub push sub and push ret or ret pop,1
ret jmp and pop lea mov and add call nop ret and sub xor or lea pop lea,0
add call call call push ret and push xor ret ret sub sub,1
lea ret sub or lea and sub jmp sub sub pop push sub mov and nop,1
or pop call and call add call ret push,1
add ret jmp mov add jmp mov jmp add or ret add,0
push jmp jmp lea pop or call call mov lea ret pop ret nop ret call,1
and xor pop jmp push sub push pop xor mov nop mov jmp,0
sub and nop nop pop push cmp,0
call add nop call sub sub mov nop,1
lea jmp pop add call nop or or or lea push call ret,1
mov cmp jmp pop nop sub add xor mov and cmp or and cmp and call ret xor,1
or sub mov push push sub mov jmp push nop cmp call and,0
call call sub or add pop lea push nop cmp nop mov,0
pop jmp cmp call push sub xor jmp call add sub,0
xor lea pop call call and nop and,1
cmp and sub cmp lea sub xor push lea and sub and xor mov sub sub xor,0
cmp mov lea nop lea add xor,0
lea xor lea ret pop xor call mov call,1
mov and jmp push xor ret ret or pop ret ret pop push lea and call nop,1
sub nop jmp pop pop or call,0
lea or or xor jmp call,1
xor cmp push and call nop push call pop or,1
mov lea add push sub mov nop ret or push push ret sub and and jmp,1
or jmp mov nop call or lea call push nop push pop add mov or mov,1
or call nop ret lea xor xor nop or cmp call call and,0
and mov ret call call lea ret pop cmp,1
xor cmp add ret pop add mov or ret nop pop cmp,1
lea nop mov and and lea and and jmp nop jmp xor,0
sub pop ret or sub or pop lea add jmp cmp pop nop,0
cmp call lea and cmp push cmp push nop sub xor or,1
jmp add jmp or nop add cmp,0
sub mov jmp ret or lea nop sub mov call,1
cmp ret cmp lea jmp or mov xor ret and lea mov ret push nop sub lea xor call,1
pop ret push and sub sub push and pop cmp pop ret ret pop,1
jmp and xor and and pop lea pop push or jmp nop push cmp nop,0
sub cmp nop ret jmp jmp call pop cmp and xor and xor,1
push or push ret jmp or jmp mov nop jmp,1
or push call sub ret cmp nop push lea pop,0
sub push or push call mov jmp lea and mov jmp add lea xor mov push ret pop lea,1
add jmp xor call or cmp pop xor or call xor add ret and xor jmp,0
lea push and jmp call cmp cmp nop jmp,0
mov pop nop and nop xor cmp,0
sub nop call and cmp mov,1
and jmp push pop ret nop and add jmp nop,0
cmp or nop or add ret push and pop and lea nop or push,1
push or mov and lea cmp nop,0
